,City,ID,Lat,Lon,Temp
399,Ermoupolis,262603,37.442268,24.94248,9.45
400,Karpathos,260895,35.507011,27.213221,12.0
401,Kissamos,259718,35.493889,23.65694,7.89
402,Souda,253456,35.48444,24.07444,7.89
403,Milos,256952,36.75,24.433331,9.0
404,Methoni,257122,36.819729,21.704861,6.0
405,Zakynthos,251280,37.791389,20.895281,7.53
406,Athens,264371,37.97945,23.716221,4.42
407,Tripoli,252601,37.508888,22.37944,6.0
408,Chios,259970,38.416672,26.0,7.56
409,Skyros,253614,38.904171,24.563061,8.56
410,Lamia,258620,38.900002,22.433331,1.0
411,Myrina,256930,39.879719,25.074169,5.0
412,Larisa,258576,39.637218,22.42028,0.13
413,Preveza,254698,38.950001,20.75,7.0
414,Ioannina,261779,39.6675,20.85083,-6.64
415,Alexandroupoli,736928,40.8475,25.874439,2.53
416,Chrysoupolis,735747,40.985561,24.69389,2.53
417,Thessaloniki,734077,40.640282,22.94389,-1.0
418,Kastoria,735927,40.51667,21.26667,-8.69
419,Luqa,2562788,35.858891,14.48861,12.0
420,Cagliari,2525473,39.207378,9.13462,11.66
421,Sassari,3167096,40.727219,8.56028,13.0
422,Olbia,3172087,40.921371,9.48563,12.0
423,Oristano,2523964,39.903061,8.59194,11.0
424,Lampedusa,2524459,35.5,12.6,15.31
425,Gela,2524653,37.080341,14.23068,3.0
426,Catania,2525068,37.502129,15.08719,8.29
427,Sciacca,2523194,37.506931,13.08399,12.0
428,Reggio Calabria,2523630,38.11047,15.66129,8.51
429,Palermo,2523920,38.115822,13.35976,13.0
430,Catanzaro,2525059,38.890789,16.5987,2.87
431,Lecce,3174953,40.357029,18.17202,4.19
432,Scalea,2523207,39.813,15.79558,9.93
433,Policoro,3170384,40.21151,16.67259,3.45
434,Napoli,3172394,40.833328,14.25,4.38
435,Caserta,3179866,41.083221,14.33493,4.55
436,Ponza,3170189,40.893799,12.9625,12.78
437,Bari,3182351,41.117729,16.851179,2.58
438,Vieste,3164387,41.88245,16.174959,8.38
439,Roma,3169070,41.894741,12.4839,5.6
440,Pescara,3171168,42.460239,14.21021,1.0
441,Terni,3165771,42.567131,12.64987,-3.0
442,Grosseto,3175786,42.77142,11.10794,6.0
443,Ancona,3183089,43.59816,13.51008,7.0
444,Arezzo,3182884,43.461391,11.87691,5.14
445,Pisa,3170647,43.71553,10.39659,4.85
446,San Marino,3168070,43.933331,12.45,4.19
447,Bologna,3181928,44.493809,11.33875,3.0
448,Ferrara,3177090,44.826778,11.62071,2.0
449,Genoa,6542282,44.412861,8.95729,11.0
450,Trieste,3165185,45.648609,13.78,4.13
451,Venezia,3164603,45.43861,12.32667,2.29
452,Verona,3164527,45.434189,10.99779,0.47
453,Milano,3173435,45.464272,9.18951,4.2
454,Torino,3165524,45.070492,7.68682,5.73
455,Aosta,3182997,45.737358,7.3166,-0.6
456,Tarvisio,3165912,46.51083,13.59417,3.0
457,Dobbiaco,3177571,46.7425,12.23139,-1.07
458,Trento,3165243,46.067871,11.12108,4.0
459,Bolzano,3181913,46.492722,11.33358,4.0
460,Kurdzhali,729794,41.650002,25.366671,-1.0
461,Sandanski,727447,41.566669,23.283331,-11.29
462,Burgas,732770,42.506062,27.46781,-1.0
463,Sliven,727079,42.685829,26.32917,-2.0
464,Varna,726050,43.216671,27.91667,-2.0
